Filename,MFCC_Mean,MFCC_Var,Chromagram_Mean,Chromagram_Var,Spectral_Centroids_Mean,Spectral_Centroids_Var,Spectral_Rolloff_Mean,Spectral_Rolloff_Var
balad1.wav,0.4921513,0.030902306,0.27047443,0.08934108,2387.264407450264,346469.31971691514,5625.463371110758,1714408.9587824054
balad10.wav,0.49433982,0.02943158,0.29715842,0.08941794,2760.713355349234,874983.4750549044,6078.346578403154,2545436.3019301086
balad100.wav,0.49459904,0.033184372,0.2694024,0.09283633,2282.7480327447056,741578.1726277067,5864.322872575222,4915560.591472692
balad11.wav,0.5221011,0.035166048,0.31229106,0.08931887,2553.5382501240724,614269.0478227498,5838.439695753918,1723734.7387690246
balad12.wav,0.5035009,0.031802814,0.3293237,0.09045448,2637.8860778029884,398300.4087756064,5882.086705608323,1513782.17973626
balad13.wav,0.481427,0.031104796,0.25210774,0.08853111,1685.873760410518,533341.0206993349,3566.326094598526,3485214.181993082
balad14.wav,0.49710348,0.026011754,0.27862436,0.08791765,1840.6137987313184,583187.8707273442,3935.05953856666,3668258.544172972
balad15.wav,0.4974578,0.032079015,0.26475605,0.0901402,1843.322008461638,419263.8012491504,3639.4279928768383,2676615.41381436
balad16.wav,0.53146464,0.030161463,0.3483302,0.088761576,1924.6978251700705,491525.13002483966,4076.948517981788,2649852.1170683946
balad17.wav,0.5213448,0.029525973,0.28308433,0.0899981,2214.483028678947,804537.1992196866,4902.521574634949,3800542.858414612
balad18.wav,0.4873684,0.032609902,0.2090699,0.08956628,2651.477774941562,1043430.2648338616,5687.405071154965,5183989.696604376
balad19.wav,0.5116762,0.028125286,0.2667796,0.08354108,1801.8789938696457,282119.48346545483,4077.666440217392,2144293.952037797
balad2.wav,0.49974158,0.031487286,0.303602,0.09055881,2416.492720205103,405524.8061559572,5256.843212588284,1788086.5666243846
balad20.wav,0.4892776,0.031689476,0.29223073,0.090608105,2199.485303865641,146097.99118926385,5070.294340623791,1333542.5154390538
balad21.wav,0.51451814,0.032400947,0.3099843,0.09344911,1801.893612951529,541257.8210552818,3749.235662218218,2821801.329011985
balad22.wav,0.4815989,0.034325648,0.25354198,0.08894674,1752.2249544272315,384995.80711998825,3318.746598660023,2191071.520589326
balad23.wav,0.50966674,0.035012994,0.28813887,0.09170225,2450.2676432790395,584915.1148125781,5488.441812143237,2296002.8334499025
balad24.wav,0.5154581,0.03424788,0.2758674,0.08779259,2337.1017276384623,596772.0090797864,5631.541418050446,2662584.391901972
balad25.wav,0.52903277,0.029811583,0.31410417,0.09255293,2986.2452879047505,899791.5777329481,6282.570343489986,2935510.9027242446
balad26.wav,0.5047868,0.030241331,0.30926213,0.09247136,2643.462031043205,398420.6622301312,5679.948987458882,1205566.000448355
balad27.wav,0.49044555,0.03320774,0.27291107,0.09311572,2294.849755724192,361714.0281989625,4794.621252111487,2275345.0442578862
balad28.wav,0.5498587,0.029796282,0.36787543,0.0846653,2304.539386944322,558057.8678781223,5298.780880489865,2586619.9432683047
balad29.wav,0.5167781,0.031673737,0.32762825,0.087244675,2316.13101032459,526855.4174768663,5289.990234375,3346801.9138463708
balad3.wav,0.52781963,0.029290214,0.32050714,0.086480826,2168.305050023099,299139.6760656801,4597.34698067775,2163106.586680902
balad30.wav,0.5041261,0.034700513,0.26348552,0.09476361,2596.0477255777687,373836.7199841205,5877.497792908282,1910677.2305002892
balad31.wav,0.49146244,0.0330788,0.20369151,0.08904404,2133.693489531483,613981.3801665171,4649.757807629364,3966938.69200051
balad32.wav,0.545091,0.03155899,0.2818769,0.0914131,1819.677851833706,719849.0562772541,3711.185892299971,3035961.4301216016
balad33.wav,0.52149135,0.030135712,0.31878793,0.08518908,2092.5803029064546,279708.4946167537,4400.7067228618425,1676543.571501703
balad34.wav,0.5067595,0.029336909,0.27996895,0.09032369,1738.4908870740862,463466.2992701309,3903.26806413869,2801138.891120833
balad35.wav,0.5153148,0.030307353,0.3647769,0.089025594,1937.3775082839256,376775.4037205484,4426.039903008901,2361318.7127712527
balad36.wav,0.4892189,0.033657376,0.36454794,0.07984503,1726.4415924782193,316416.0196749377,3937.253763504205,2864685.032811386
balad37.wav,0.5193052,0.030132972,0.30720997,0.08582197,2042.09002812098,322592.0695432967,4637.88862198868,1876811.9953361931
balad38.wav,0.482529,0.034592073,0.27225095,0.087941945,2013.7996812362755,402447.10467619385,4979.161558357924,3530860.446041333
balad39.wav,0.48710975,0.033046994,0.2713922,0.090583615,1981.79356189498,680720.5508395169,4233.876412271253,3416423.9742121184
balad4.wav,0.50220823,0.03359569,0.29928815,0.087055065,1635.3727412347534,338447.3615955951,3161.629700146133,1534262.6249778466
balad40.wav,0.5214826,0.030965967,0.26539364,0.083533965,1723.5928915998938,260076.24093014805,3858.035004323481,2048512.9337563028
balad41.wav,0.50461775,0.03240506,0.28775796,0.08752897,1331.4293880082955,483697.6516710441,2688.6027679089325,3028421.713900173
balad42.wav,0.51922154,0.03574888,0.29144123,0.08908142,1623.1631318930592,378231.1793616958,3339.8381377890382,2135902.0607818053
balad43.wav,0.5026691,0.031382527,0.26209503,0.09515119,1792.3863377351524,944796.5598799688,3899.8030580065656,5869082.479785961
balad44.wav,0.50870883,0.028346583,0.2803399,0.100767545,1858.6358128182767,903572.3919677036,4312.976860626451,5424180.5114683
balad45.wav,0.49657023,0.027904635,0.32757875,0.08943642,1731.055375514445,606361.4052929622,3882.86268839778,3811642.893496272
balad46.wav,0.53891164,0.030806245,0.34110585,0.083029434,1791.6352675028927,129761.8182965728,4067.700403172165,706617.7478741319
balad47.wav,0.5120628,0.027087713,0.29302922,0.08788646,2106.660891558561,928880.4978288356,4676.155057263448,4085698.4749200726
balad48.wav,0.51857716,0.03033182,0.2902281,0.08900567,839.2478233654969,88365.30580317575,1392.7665781310468,834397.3919818512
balad49.wav,0.487077,0.030674288,0.33362994,0.103058755,1965.7906211003883,1010869.6636107304,4220.64114502709,4755503.94972922
balad5.wav,0.5062164,0.03145298,0.26468974,0.09275078,2527.1458239629987,365345.5601808907,5676.699474179706,1803136.9950996072
balad50.wav,0.50841,0.029911634,0.2958174,0.08751657,1916.4045774394428,241213.27373275935,4102.912672098631,1601661.776458325
balad51.wav,0.51078963,0.03388672,0.30474526,0.08906253,1962.0498673548689,245246.1896213424,4272.382498820869,1428063.370104022
balad52.wav,0.508663,0.028431786,0.3133796,0.0960679,1794.4376335717693,445905.7991665525,4025.533991480021,2888608.0438451907
balad53.wav,0.5191775,0.03240916,0.30864695,0.08964363,1921.393450463927,578987.5114668845,4262.890889548665,5239720.582339162
balad54.wav,0.5041082,0.027598048,0.29913732,0.09791936,1846.264562094069,947889.5334983132,4090.0086016108735,5539539.406679152
balad55.wav,0.5172059,0.030772485,0.29016724,0.08817324,1239.205966900282,375818.89337234607,2466.651751160991,1640294.974883638
balad56.wav,0.45409432,0.034861624,0.24979375,0.08961122,1537.0041351697514,785397.4876365055,3134.1801973064094,3662302.790394532
balad57.wav,0.51156133,0.02948163,0.36680537,0.09402392,2126.218223395979,1255720.6866099858,4755.654576540732,5378090.876143852
balad58.wav,0.5092273,0.028277805,0.30672774,0.09203885,1725.8241278517858,418728.4349319239,3854.876690088042,2929869.3857430806
balad59.wav,0.46832603,0.029007053,0.27239776,0.096185595,1675.6619339667986,460531.4029261005,3548.912980363176,2757548.917513089
balad6.wav,0.50584006,0.031022238,0.301334,0.092239864,2287.5186121027914,370779.79064335016,4686.2514800909175,1851858.3612220008
balad60.wav,0.50099576,0.029962465,0.23881415,0.0871351,1772.4588991361725,447464.2821999187,3632.044446790541,2101494.720259054
balad61.wav,0.5030495,0.030934798,0.25163317,0.09258902,2001.9804940087608,1206015.7634831034,4431.458377322635,6147129.849569287
balad62.wav,0.50603384,0.03505571,0.26975375,0.0896831,1497.9322468656187,611841.4392402704,3079.3480462703174,4228362.489297524
balad63.wav,0.5111646,0.03310945,0.2705272,0.08813039,1359.7257041511623,537331.7150782844,2799.1247407423084,3180148.533023626
balad64.wav,0.5130287,0.027067915,0.33929202,0.09311245,2024.493340357268,625441.0710038212,4682.780017203222,4021789.779413908
balad65.wav,0.49587074,0.03495641,0.2713994,0.08641372,1714.479883355689,1046974.4498295848,3869.509934936145,7456985.508096099
balad66.wav,0.5185414,0.031284343,0.32450733,0.08871751,1914.7120739262443,325006.6880500159,4128.2917034515285,2460459.129623886
balad67.wav,0.50043225,0.030279445,0.3286587,0.08639794,2240.518430916778,823942.0553035471,5319.009503343895,3789127.283734533
balad68.wav,0.5062411,0.031640463,0.30266267,0.097474515,2005.147186307979,780566.1140190394,4651.296874244146,5059088.2495721085
balad69.wav,0.53626126,0.030719493,0.3121178,0.087568566,2187.887428572265,891649.9713608159,5197.801902936339,4685082.222504006
balad7.wav,0.5083055,0.026924474,0.24965312,0.08996696,2429.542931195831,380992.4401577783,5357.007695587588,1674311.1923245643
balad70.wav,0.47016385,0.031035444,0.25339723,0.09676836,2196.3051466049915,851196.4742591298,4447.031342907638,4249020.177095528
balad71.wav,0.48333076,0.03498164,0.2620018,0.086859845,1193.7555402227645,514003.15022867685,2266.94248191398,2289362.524508912
balad72.wav,0.48392546,0.030504314,0.2564334,0.08957197,1885.0701311397283,762869.0941193949,4129.883225422833,4605828.494748233
balad73.wav,0.52063835,0.032775834,0.22977006,0.08322268,1533.362527968719,208472.08406315945,3054.026225571186,1280590.2250251798
balad74.wav,0.50308704,0.029022645,0.3300764,0.08860803,1444.4595796310489,462947.0742119012,2976.752751048018,4138766.320169522
balad75.wav,0.45725462,0.024480538,0.25310805,0.09819146,2437.129458452037,737302.736516192,5788.642697217988,3287212.119574067
balad76.wav,0.48524666,0.029956028,0.31704175,0.08906843,2374.8283810142816,859891.5183206771,5621.199342709946,4994695.862554483
balad77.wav,0.49628237,0.029857347,0.23718607,0.086289175,2016.550255819522,800600.289054732,4308.823945131096,4373418.3286377005
balad78.wav,0.5152514,0.032107186,0.2887652,0.093589626,2056.097652431717,1705498.8680045928,4125.35005457261,6202316.806414728
balad79.wav,0.5035416,0.028221486,0.24697605,0.09132111,2174.810579143479,955605.759646056,4852.245659134336,4284569.123645035
balad8.wav,0.5008895,0.030802922,0.2972934,0.08715844,2325.682999031194,474083.719343968,5123.807149537852,2455274.569170505
balad80.wav,0.46485958,0.03110978,0.26495108,0.095299,2444.646508064797,1247404.9016716103,5755.906861485342,8740334.593895925
balad81.wav,0.5134974,0.031187633,0.26120722,0.08609799,2078.1867881564654,948770.4476683692,4815.062550642173,6831844.093616506
balad82.wav,0.49515608,0.033189144,0.26241598,0.08792469,2370.5385852300697,599607.039649292,5394.384047564338,3947668.9242167375
balad83.wav,0.525025,0.028128747,0.37429342,0.08679998,2594.066913395134,866756.387646261,6105.946411510739,2836579.8359092264
balad84.wav,0.49634263,0.030124154,0.26771805,0.09062721,2231.0532685827534,661948.7289419874,5087.6609022772345,2984664.1404988617
balad85.wav,0.5061379,0.03174826,0.29432142,0.087521866,2327.632832089961,220322.53047838263,4972.128267553938,1033515.05390005
balad86.wav,0.5052482,0.029419998,0.24294788,0.08685109,2721.056723303818,558999.879363314,6090.091119398927,2045298.9570799416
